category,item_code
G0146,2065.111
G0634,2065.111
G0031,2065.121
G0130,2065.121
G0146,2065.121
G0634,2065.121
G0031,2065.122
G0130,2065.122
G0146,2065.122
G0634,2065.122
G0031,2065.201
G0130,2065.201
G0146,2065.201
G0634,2065.201
G0031,2065.202
G0130,2065.202
G0146,2065.202
G0634,2065.202
G0031,2065.203
G0130,2065.203
G0146,2065.203
G0634,2065.203
G0031,2065.204
G0130,2065.204
G0146,2065.204
G0634,2065.204
G0031,2065.205
G0130,2065.205
G0146,2065.205
G0634,2065.205
G0031,2065.206
G0130,2065.206
G0146,2065.206
G0634,2065.206
G0031,2065.207
G0130,2065.207
G0146,2065.207
G0634,2065.207
G0031,2065.209
G0130,2065.209
G0146,2065.209
G0634,2065.209
G0031,2065.215
G0130,2065.215
G0146,2065.215
G0634,2065.215
G0031,2065.216
G0130,2065.216
G0146,2065.216
G0634,2065.216
G0031,2065.217
G0130,2065.217
G0146,2065.217
G0634,2065.217
G0031,2065.218
G0130,2065.218
G0146,2065.218
G0634,2065.218
G0031,2065.9
G0130,2065.9
G0146,2065.9
G0634,2065.9
G0957,2065.9
G0503,2065.901
G0001,2070.02
G0031,2070.02
G0121,2070.02
G0130,2070.02
G0146,2070.02
G0001,2070.022
G0031,2070.022
G0121,2070.022
G0130,2070.022
G0146,2070.022
G0001,2070.027
G0011,2070.027
G0031,2070.027
G0121,2070.027
G0130,2070.027
G0146,2070.027
G0031,2070.028
G0130,2070.028
G0634,2070.028
G0001,2070.076
G0031,2070.076
G0121,2070.076
G0130,2070.076
G0146,2070.076
G0001,2070.077
G0031,2070.077
G0121,2070.077
G0130,2070.077
G0146,2070.077
G0073,2070.901
G0121,2070.901
G0633,2070.901
G0031,2080.001
G0130,2080.001
G0634,2080.001
G0001,2110.001
G0031,2110.001
G0121,2110.001
G0130,2110.001
G0146,2110.001
G0031,2210.002
G0079,2210.002
G0146,2210.002
G0158,2210.002
G0634,2210.002
G0031,2210.005
G0130,2210.005
G0146,2210.005
G0634,2210.005
G0161,2210.9
G0031,2212.017
G0634,2212.017
G0031,2212.018
G0130,2212.018
G0146,2212.018
G0634,2212.018
G0031,2500.002
G0055,2500.002
G0073,2500.002
G0121,2500.002
G0130,2500.002
G0146,2500.002
G0611,2500.002
G0633,2500.002
G0634,2500.002
G0031,2500.003
G0073,2500.003
G0121,2500.003
G0130,2500.003
G0146,2500.003
G0570,2500.003
G0609,2500.003
G0612,2500.003
G0633,2500.003
G0634,2500.003
G0121,2500.004
G0610,2500.004
G0633,2500.004
G0073,2500.005
G0121,2500.005
G0130,2500.005
G0073,2500.9
G0121,2500.9
G0130,2500.9
G0609,2500.9
G0633,2500.9
G0073,2500.901
G0121,2500.901
G0130,2500.901
G0609,2500.901
G0633,2500.901
G0763,2500.901
G0073,2500.902
G0121,2500.902
G0130,2500.902
G0609,2500.902
G0633,2500.902
G0763,2500.902
G0031,2525.002
G0045,2525.002
G0130,2525.002
G0146,2525.002
G0634,2525.002
G0031,2525.003
G0130,2525.003
G0146,2525.003
G0634,2525.003
G0031,2525.004
G0130,2525.004
G0146,2525.004
G0226,2525.004
G0634,2525.004
G0031,2525.005
G0045,2525.005
G0130,2525.005
G0146,2525.005
G0622,2525.005
G0634,2525.005
G0950,2525.005
G0031,2525.006
G0130,2525.006
G0146,2525.006
G0624,2525.006
G0634,2525.006
G0920,2525.006
G0031,2650.07
G0130,2650.07
G0146,2650.07
G0634,2650.07
G0028,3005.002
G0131,3005.002
G0884,3005.002
G0028,3005.003
G0120,3005.003
G0131,3005.003
G0028,3005.004
G0595,3005.004
G0730,3005.004
G0028,3005.006
G0595,3005.006
G0730,3005.006
G0028,3005.015
G0028,3005.036
G0595,3005.036
G0730,3005.036
G0028,3006.001
G0143,3006.001
G0501,3006.001
G0713,3006.001
G0028,3006.002
G0143,3006.002
G0714,3006.002
G0028,3007.001
G0143,3007.001
G0501,3007.001
G0595,3007.001
G0713,3007.001
G0730,3007.001
G0028,3007.002
G0143,3007.002
G0595,3007.002
G0713,3007.002
G0730,3007.002
G0028,3007.003
G0143,3007.003
G0595,3007.003
G0713,3007.003
G0730,3007.003
G0028,3007.004
G0143,3007.004
G0595,3007.004
G0713,3007.004
G0730,3007.004
G0028,3007.089
G0143,3007.089
G0713,3007.089
G0730,3007.089
G0732,3007.089
G0028,3007.1
G0143,3007.1
G0713,3007.1
G0730,3007.1
G0732,3007.1
G0028,3007.999
G0143,3007.999
G0501,3007.999
G0595,3007.999
G0713,3007.999
G0730,3007.999
G0028,3009.001
G0143,3009.001
G0596,3009.001
G0714,3009.001
G0731,3009.001
G0028,3009.002
G0143,3009.002
G0596,3009.002
G0714,3009.002
G0731,3009.002
G0028,3009.003
G0143,3009.003
G0596,3009.003
G0714,3009.003
G0731,3009.003
G0028,3009.004
G0143,3009.004
G0596,3009.004
G0714,3009.004
G0731,3009.004
G0028,3009.005
G0143,3009.005
G0596,3009.005
G0714,3009.005
G0731,3009.005
G0028,3009.006
G0143,3009.006
G0596,3009.006
G0714,3009.006
G0731,3009.006
G0028,3009.007
G0143,3009.007
G0596,3009.007
G0714,3009.007
G0731,3009.007
G0596,3009.008
G0731,3009.008
G0028,3009.1
G0143,3009.1
G0714,3009.1
G0731,3009.1
G0733,3009.1
G0028,3101.01
G0058,3101.01
G0126,3101.01
G0916,3101.01
G0028,3101.011
G0028,3101.012
G0028,3101.013
G0028,3101.014
G0028,3101.015
G0028,3101.016
G0028,3101.017
G0028,3101.018
G0028,3150.001
G0645,3150.001
G0028,3255.005
G0570,3255.005
G0028,3290.005
G0028,3290.006
G0072,3290.007
G0028,3290.008
G0883,3290.008
G0028,3290.009
G0626,3290.009
G0147,3290.9
G0162,3290.9
G0148,3290.901
G0150,3290.902
G0147,3290.905
G0163,3290.905
G0147,3290.906
G0164,3290.906
G0147,3290.907
G0554,3290.907
G0703,3290.909
G0143,3290.91
G0147,3290.911
G0550,3290.911
G0147,3290.912
G0551,3290.912
G0147,3290.913
G0552,3290.913
G0147,3290.914
G0553,3290.914
G0147,3290.915
G0028,3525.005
G0143,3525.005
G0595,3525.005
G0730,3525.005
G0143,4501.9
G0143,4556.9
G0143,4500.ELEbased
G0143,4555.ELEbased
G0033,4140.001
G0037,4140.001
G0042,4140.001
G0122,4140.001
G0132,4140.001
G0165,4140.001
G0207,4140.001
G0570,4140.001
G0636,4140.001
G0668,4140.001
G0885,4140.001
G0042,4140.01
G0082,4140.01
G0122,4140.01
G0132,4140.01
